field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
sp_previsit_survey_pref,postconsent_study_plan_crf_v06," ",radio,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Please indicate how the patient would like to receive </span>Pre-Visit surveys<span style=""font-weight: normal;"">:</span></p></div>","1, E-mail | 2, Push notification via app | 3, In-person (provide paper version) | 4, Phone (via coordinator)",,,,,,"[sp_elig_calc] = '1' and [sp_mricompatscr] = '4'",,,,,,
sp_daily_survey_pref,postconsent_study_plan_crf_v06,,radio,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Please indicate how the patient would like to receive </span>Daily Trajectory surveys:</p></div>","1, E-mail | 2, Push notification via app | 3, In-person (provide paper version) | 4, Phone (via coordinator)",,,,,,"[sp_elig_calc] = '1' and [sp_mricompatscr] = '4'",,,,,,
sp_dt_wd_alert,postconsent_study_plan_crf_v06,,descriptive,"<div class=""rich-text-field-label""><h4 style=""text-align: center;""><span style=""background-color: #f8cac6;"">Alert! </span></h4> <p>This participant has been withdrawn from the study.</p> <p>This OVERRIDES the ""Send electronic survey.."" setting above and <span style=""text-decoration: underline;"">no future email or text invitations will be sent</span> to the participant.</p> <p>Date of early termination:<span style=""font-weight: normal;""> <span style=""background-color: #f8cac6;"">[event_reporting_arm_1][ewdateterm]</span></span></p> <p>Primary reason for termination:<span style=""font-weight: normal;""> <span style=""background-color: #f8cac6;"">[event_reporting_arm_1][ewprimaryreason]</span></span></p></div>",,,,,,,"[event_reporting_arm_1][ewdateterm]<>""""",,,,,,
brthdtc,patient_demographics_baseline_v03_demographics_i,,text,"1. Birth date",,,date_mdy,,,y,,,,,,,@HIDEBUTTON
age,patient_demographics_baseline_v03_demographics_i,,text,"2. Age",,"xx years",number,20,100,,,,,,,,
sex,patient_demographics_baseline_v03_demographics_i,,radio,"3. Sex at birth","1, Male | 2, Female | 3, Unknown | 4, Intersex",,,,,,,,,,,,
genident,patient_demographics_baseline_v03_demographics_i,,radio,"4. Gender identity","1, Male | 2, Female | 3, Unknown | 4, Other, specify",,,,,,,,,,,,
genidentoth,patient_demographics_baseline_v03_demographics_i,,text,"Gender identity - Other, specify",,,,,,,"[genident] = '4'",,,,,,
ethnic,patient_demographics_baseline_v03_demographics_i,,radio,"5. Ethnicity","1, Hispanic or Latino, A person of Mexican, Puerto Rican, Cuban, Central or South American or other Spanish culture or origin, regardless of race | 2, Not Hispanic or Latino, A person not of Cuban, Mexican, Puerto Rican, South or Central American, or other Spanish culture or origin, regardless of race. An arbitrary ethnic classification | 3, Unknown, Not known, not observed, not recorded, or refused | 4, Not reported, Not provided or available",,,,,,,,,,,,
dem_race,patient_demographics_baseline_v03_demographics_i,,checkbox,"6. Race - (Choose all that apply)","1, American Indian or Alaska Native | 2, Asian | 3, Black or African-American | 4, Native Hawaiian or Pacific Islander | 5, White | 6, Unknown | 7, Not Reported",,,,,,,,,,,,
